name;category;price;tax_value;duration
Manicure Tradicional;Serviços de manicure;15.00;0,23;45
Manicure Tradicional  (Masculina);Serviços de manicure;15.00;0,23;45
Verniz de Gel / Gelinho;Serviços de manicure;20.00;0,23;60
Manutenção de gel / Acrilico ( de outra Profissional Externa );Serviços de manicure;30.00;0,23;120
Unhas de Gel (Sobre o Tamanho da Unha Natural );Serviços de manicure;24.00;0,23;70
Unhas de Gel c/Extensão;Serviços de manicure;35.00;0,23;125
Manutenção de Gel;Serviços de manicure;27.00;0,23;100
Unha de Acrilico ( Sobre o Tamanho da Unha Natural );Serviços de manicure;27.00;0,23;70
Unhas de Acrílico c/ Extensão;Serviços de manicure;38.00;0,23;125
Manutenção de Acrilico;Serviços de manicure;30.00;0,23;100
Baby Boomer gel;Serviços de manicure;5.00;0,23;20
Francesinha;Serviços de manicure;4.00;0,23;15
Baby color Boomer;Serviços de manicure;3.00;0,23;15
Full Nail Art ( preço a definir consoante ao design );Serviços de manicure;0.00;0,23;30
Nails Art ( Decoração);Serviços de manicure;3.00;0,23;20
Nail Art 3D;Serviços de manicure;5.00;0,23;20
Remoção de Verniz Gel /Gelinho;Serviços de manicure;8.00;0,23;20
Remoção de Gel / Acrilico;Serviços de manicure;10.00;0,23;30
Reparação de Uma Unha de Gel;Serviços de manicure;3.00;0,23;15
Pedicure Tradicional;Serviços de pedicure;20.00;0,23;45
Pedicure Tradicional (Masculina);Serviços de pedicure;22.00;0,23;60
Pedicure com Verniz Gel / Gelinho;Serviços de pedicure;25.00;0,23;60
Pedicure com Gel;Serviços de pedicure;26.00;0,23;90
Reconstrução Unha dedo grande do pé;Serviços de pedicure;4.00;0,23;10
Pedicure normal + SPA;Serviços de pedicure;26.00;0,23;90
Pedicure com Verniz Gel + SPA;Serviços de pedicure;28.00;0,23;100
Manicure + Pedicure Normal;PACK ESPECIAL;28.00;0,23;90
Verniz Gel + Pedicure Normal;PACK ESPECIAL;34.00;0,23;120
Verniz Gel + Pedicure com Verniz Gel;PACK ESPECIAL;36.00;0,23;135
Manutenção de Unhas de Gel + Pedicure Normal;PACK ESPECIAL;42.00;0,23;145
Manutenção de Unhas de Gel + Pedicure com Verniz Gel;PACK ESPECIAL;47.00;0,23;160
Unhas de Gel com Extensão + Pedicure Normal;PACK ESPECIAL;52.00;0,23;175
Unhas de Gel com Extensão + Pedicure com Verniz Gel;PACK ESPECIAL;54.00;0,23;195
Buço ( depilação com Cera );ESTÉTICA ROSTO;5.00;0,23;15
Nariz ( depilação com Cera );ESTÉTICA ROSTO;5.00;0,23;15
Limpeza de Pele ( MK );ESTÉTICA ROSTO;45.00;0,23;80
Hidratação Labial;ESTÉTICA ROSTO;15.00;0,23;30
Buço com Dermaplaning (MK);ESTÉTICA ROSTO;5.00;0,23;15
Dermaplaning Facial (MK);ESTÉTICA ROSTO;24.00;0,23;45
Massagem Facial;ESTÉTICA ROSTO;20.00;0,23;30
Buço com Dermaplaning (AV);ESTÉTICA ROSTO;5.00;0,23;15
Remoção de Extensão de Pestana;ESTÉTICA ROSTO;5.00;0,23;45
Remoção de Extenção de Pestanas ( profissional externa );ESTÉTICA ROSTO;10.00;0,23;35
Lash Liftting;ESTÉTICA ROSTO;30.00;0,23;45
Design Personalizado  de Sobrancelhas;ESTÉTICA ROSTO;15.00;0,23;30
Design de Sobrancelhas com Henna;ESTÉTICA ROSTO;20.00;0,23;65
Brown Lamination;ESTÉTICA ROSTO;35.00;0,23;80
Extensão de pestanas POP Color ( por Orçamento );ESTÉTICA ROSTO;0.00;0,23;40
Extensão de Pestanas Fio a Fio Clasicos;ESTÉTICA ROSTO;35.00;0,23;140
Manutenção  de pestanas Fio a Fio Clasico;ESTÉTICA ROSTO;25.00;0,23;120
Extensão de Pestanas Volume Brasileiro;ESTÉTICA ROSTO;35.00;0,23;100
Manutenção Volume Brasileiro ( até 4 semanas );ESTÉTICA ROSTO;27.00;0,23;95
Extesão de Pestanas Volume 3D;ESTÉTICA ROSTO;40.00;0,23;90
Manutenção Volume 3D ( até 4 semanas );ESTÉTICA ROSTO;27.00;0,23;95
Extensão de Pestanas Volume Russo;ESTÉTICA ROSTO;40.00;0,23;100
Manutenção Volume Russo ( até 4 semanas );ESTÉTICA ROSTO;27.00;0,23;95
Extensão de Pestanas Mega Volume;ESTÉTICA ROSTO;45.00;0,23;110
Manutenção Mega Volume ( até 4 semanas );ESTÉTICA ROSTO;35.00;0,23;95
Massagem Relaxante com Ventosaterapia (Corpo Inteiro 60');MASSAGENS TERAPÊUTICAS;38.00;0,23;60
Massagem Relaxante com Ventosaterapia (Corpo Inteiro 30');MASSAGENS TERAPÊUTICAS;29.00;0,23;30
Massagem Modeladora com Endermoterapia (Corpo Inteiro 60');MASSAGENS TERAPÊUTICAS;40.00;0,23;60
Massagem Modeladora com Endermoterapia (Localizada 30');MASSAGENS TERAPÊUTICAS;28.00;0,23;30
Massagem Modeladora  com Endermoterapia + Drenagem Linfática ( Corpo Inteiro );MASSAGENS TERAPÊUTICAS;42.00;0,23;60
Drenagem Linfática  Brasileira (Corpo Inteiro);MASSAGENS TERAPÊUTICAS;40.00;0,23;60
VentosaTerapia ( Corpo Inteiro 60?);MASSAGENS TERAPÊUTICAS;40.00;0,23;70
VentosaTerapia ( Corpo Inteiro 35?);MASSAGENS TERAPÊUTICAS;30.00;0,23;35
Massagem Relaxante (Corpo Inteiro 60');MASSAGENS TERAPÊUTICAS;35.00;0,23;60
Massagem Relaxante ( Corpo Inteiro 30');MASSAGENS TERAPÊUTICAS;28.00;0,23;30
Massagem Relaxante Local (pernas ou costas 60');MASSAGENS TERAPÊUTICAS;30.00;0,23;60
Massagem Relaxante Local (pernas ou costas 30');MASSAGENS TERAPÊUTICAS;25.00;0,23;30
Pack 2 Sessões Relaxante com Ventosaterapia (Corpo Inteiro 60');Pack Massagens Terapêuticas;73.00;0,23;60
Pack 4 Sessões Relaxante com Ventosaterapia (Corpo Inteiro 60');Pack Massagens Terapêuticas;150.00;0,23;60
Pack- 2 Sessões Massagem Modeladora com Endermoterapia ( Corpo Inteiro );Pack Massagens Terapêuticas;76.00;0,23;60
Pack_- 4 sessões  Massagem Modeladora com Endermoterapia;Pack Massagens Terapêuticas;156.00;0,23;60
Pack- 2 Sessões Modeladora com Endermo + Drenagem;Pack Massagens Terapêuticas;78.00;0,23;60
Pack- 4 Sessões Modeladora com Endermo + Drenagem;Pack Massagens Terapêuticas;160.00;0,23;60
Pack- 4 Sessões Massagem Relaxante ( Corpo inteiro 60' );Pack Massagens Terapêuticas;136.00;0,23;60
Pack- 2 Sessões Massagem Relaxante (Corpo Inteiro 60' );Pack Massagens Terapêuticas;67.00;0,23;60
Pack- 2 Sessões Massagem Relaxante Localizada (30´);Pack Massagens Terapêuticas;54.00;0,23;30
Pack- 4 Sessões Massagem Relaxante Localizada ( 30');Pack Massagens Terapêuticas;100.00;0,23;30
Pack- 4 Sessões Drenagem Linfática ( Corpo Inteiro );Pack Massagens Terapêuticas;156.00;0,23;60
Pack- 2 Sessões Drenagem Linfática  ( Corpo Inteiro );Pack Massagens Terapêuticas;76.00;0,23;60
L - Manicure Normal;L-Manicure;17.00;0,23;45
L- Verniz Gel / Gelinho;L-Manicure;22.00;0,23;60
L-Unhas de Gel;L-Manicure;26.00;0,23;70
L-Unhas de Gel c/Extensão;L-Manicure;37.00;0,23;125
L-Manutenção de Gel;L-Manicure;27.00;0,23;100
L-Unhas de Acrilico c/ Extensão;L-Manicure;40.00;0,23;125
L-Manutenção de Acrilico;L-Manicure;30.00;0,23;100
L-Unhas de Gel com Fibra de Vidro;L-Manicure;37.00;0,23;125
L- Francesinha / Baby Color Boomer;L-Manicure;5.00;0,23;15
L-Nails Art ( Decoração ) + ( Pedras por orçamento );L-Manicure;5.00;0,23;20
L-Nail Art 3D;L-Manicure;7.00;0,23;20
L-Reparção de Uma Unha de Gel;L-Manicure;5.00;0,23;15
L-Remoção de Verniz Gel / Gelinho;L-Manicure;10.00;0,23;20
L-Remoção de Gel;L-Manicure;12.00;0,23;30
L-Pedicure Normal;L-Pedicure;22.00;0,23;45
L-Pedicure com Verniz Gel / Gelinho;L-Pedicure;24.00;0,23;60
L-Pedicure com Gel;L-Pedicure;28.00;0,23;90
L-Reconstrução da Unha Grande do pé;L-Pedicure;6.00;0,23;10
L-Pedicure Normal + SPA;L-Pedicure;27.00;0,23;75
L-Pedicure com Verniz Gel +SPA;L-Pedicure;30.00;0,23;90
L-Manicure + Pedicure Normal;L-Pack Especial;30.00;0,23;90
L-Verniz Gel + Pedicure Normal;L-Pack Especial;36.00;0,23;120
L- Verniz Gel + Pedicure com Verniz Gel;L-Pack Especial;40.00;0,23;120
L-Manutenção de Unhas de Gel + Pedicure Normal;L-Pack Especial;45.00;0,23;145
L-Manutenção de Unhas de Gel + Pedicure com Verniz Gel;L-Pack Especial;50.00;0,23;160
L-Unhas de Gel com Extensão + Pedicure Normal;L-Pack Especial;55.00;0,23;175
L-Unhas de Gel com Extensão + Pedicure com Verniz Gel;L-Pack Especial;58.00;0,23;195
